company,date,% of capital
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-12-14,2.97
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-11-27,2.47
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-11-22,2.69
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-10-24,2.79
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-10-19,2.7
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-10-11,2.6
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-10-03,2.7
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-10-01,2.59
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-09-19,2.54
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-09-06,2.63
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-09-04,2.74
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-08-28,3.22
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-08-09,3.25
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-08-03,3.16
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-08-02,3.26
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-07-12,3.24
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-07-02,3.28
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-06-29,3.38
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-06-27,3.58
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-06-26,3.63
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-06-12,3.1
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-06-04,3
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-06-01,2.93
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-05-31,2.87
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-05-30,2.96
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-05-24,2.85
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-05-23,2.76
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-05-22,2.63
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-04-03,2.1
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-02-26,2.01
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-01-16,1.97
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-01-03,2.07
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-12-13,2.13
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-12-12,4.23
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-12-08,3.73
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-12-05,3.94
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-12-04,4.26
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-12-01,4.3
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-11-30,4.2
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-11-29,4.02
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-11-14,3.45
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-11-07,3.34
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-10-31,3.24
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-10-17,3.15
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-10-16,3.03
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-09-08,2.93
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-06-27,2.72
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-06-23,2.22
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-06-22,2.14
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-06-08,2.01
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-05-24,1.94
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-05-12,1.82
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-05-02,1.74
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-04-27,1.61
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-03-24,1.43
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-03-16,1.92
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-03-07,2
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-03-06,2.03
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-02-01,1.9
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-01-26,1.89
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-12-09,1.79
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-12-02,1.8
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-12-01,1.71
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-11-14,1.7
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-11-02,1.62
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-10-27,2.13
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-10-14,2.14
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-09-28,2.09
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-08-24,1.59
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-08-11,1.48
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-07-07,1.51
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-06-23,1.44
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-05-23,0.94
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-05-18,0.83
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-04-21,0.76
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-03-31,0.62
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-02-02,0.5
"Sonae - SGPS, S.A.",2017-12-28,0.49
"Sonae - SGPS, S.A.",2017-11-24,0.5
"Sonae - SGPS, S.A.",2017-11-16,0.49
"Sonae - SGPS, S.A.",2017-11-02,0.58
"Sonae - SGPS, S.A.",2017-10-09,0.69
"Sonae - SGPS, S.A.",2017-09-15,0.79
"Sonae - SGPS, S.A.",2017-08-23,0.89
"Sonae - SGPS, S.A.",2017-07-27,0.98
"Sonae - SGPS, S.A.",2017-07-13,1.01
"Sonae - SGPS, S.A.",2017-07-05,0.91
"Sonae - SGPS, S.A.",2017-06-27,0.82
"Sonae - SGPS, S.A.",2017-06-20,0.73
"Sonae - SGPS, S.A.",2017-06-14,0.61
"Sonae - SGPS, S.A.",2017-06-08,0.53
